fund_period_id,fund_id,lp_id,lp_name,share_class_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,perspective,currency,commitment,paid_in_capital_itd,distributions_itd,nav,unfunded_commitment,recallable_distributions_itd,dpi,rvpi,tvpi,reported_irr,calculated_irr,beginning_nav,contributions_period,distributions_period,realized_gain_period,unrealized_gain_period,net_income_period,management_fee_period,other_expenses_period,ending_nav,period_return,benchmark_return,fund_size,vintage_year,strategy,sub_strategy,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_observation_ids,synthetic_parameter_set_id,defect_expected,record_status
FP_7d28c7670679ea19,FUND_0004,,,,as_of,,day,2021-12-31,,,,,fund_total,,3000000,2558543,4987944,0,0,,,,1.95,0.1197,,,,,,,,,,,,,,2007,Growth Equity,,EXTRACTED,SRC035,,,,0ac3a671d1bc1facc753 | 39fe85dd008955e0d5a0 | 3bcd7c3a921399886b0a | 7ef3e2a8d9d9d81b7216 | 8700a725a7918cd54ffe | cb600ac25d835c7da07f | e4ef5249319010e5e1f8,,,ACTIVE
FP_1343a440f9973e44,FUND_0005,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,750000,0,765912,4250000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,0571a342bc87df4cb40c | 0b63c417816edacc739c | 46236872ce3f9c3e9774 | 7a946ba1677ef3d61d38 | bcff265bbb8c348fd411,,,ACTIVE
FP_07f9d7a6458e0c87,FUND_0006,,,,as_of,,day,2021-12-31,,,,,fund_total,,500000,500000,312267,273598,0,,,,1.17,0.0297,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,,,,2d5e270a9bbc477e2941 | 39943345805502fe1804 | 60d88537434be47bcd56 | 8c67327339347efc95c3 | ca9f78dfacc24dc4a455 | eb8be0da5bd2dff7259c | f5a74870a6623006a06e,,,ACTIVE
FP_d042e74626691028,FUND_0007,,,,as_of,,day,2021-12-31,,,,,fund_total,,1000000,1000000,66947,1337358,0,,,,1.4,0.1151,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,2d07fde5638a0b639b92 | 50ed075570191356889e | 6a3e18cfdcb5b87c2bac | 74e037f06de12161e7e3 | a23ceaed5db8022e11b0 | a447d1dfa4f5ac951ac9 | d98598d7a24f520a020d,,,ACTIVE
FP_f22f1f9b1c0cbddf,FUND_0008,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,2000000,0,2000000,0,,,,,,,,,,,,,,,,,,,2019,Venture Capital,,EXTRACTED,SRC035,,,,2ae1d8d4437f484e9fcb | 635f3df81171b5b9c56f | 6d07b76aba6f2dd6d9fb | a3d6b4ddf4508a2490d3 | d5a108b64de2c8e227c4,,,ACTIVE
FP_cdc51ef994f1c2d4,FUND_0009,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,500000,0,500000,1500000,,,,,,,,,,,,,,,,,,,2021,Venture Capital,,EXTRACTED,SRC035,,,,4ee40627b85a4ec39a52 | 6b59c127acdbbdfdba40 | aacec82130fd9d477936 | afefaedad64d9f4de505 | c6822df9edb2ddc6a564,,,ACTIVE
FP_f1e88476f0c38133,FUND_0010,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,5000000,1786462,5066868,0,,,,1.37,0.0359,,,,,,,,,,,,,,2007,Venture Capital,,EXTRACTED,SRC035,,,,6177301f8f7e23449460 | 7534cea2283a6b881e41 | 92053a25ff7132c1a7f2 | 94c0bb6a172f7aa542b8 | a0882ccffb723e2a644f | c273aea24d1f7b424c0c | dae52795d42ef5b81189,,,ACTIVE
FP_338ad79fe446d011,FUND_0011,,,,as_of,,day,2021-12-31,,,,,fund_total,,2500000,2123388,325791,3357542,376781,,,,1.73,0.1079,,,,,,,,,,,,,,2015,Natural Resources,,EXTRACTED,SRC035,,,,1d4b92f456db9ef075b3 | 29cd42f5a3c43b7329a0 | 33da7299740642b2d26c | 4dbcbe4d4d83fccdaaa6 | 512210c8e5fcad524cd0 | b11b53be6196635b94cb | b9317b4bcaa5c7d47099,,,ACTIVE
FP_dc22e9dd65e73fff,FUND_0012,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,800000,0,809911,1200000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,1bbf0db1a6abd302d501 | 71f52af6fc187b91fbd5 | 9a7ee9cd0c6cb2c6aa8d | 9f3193ed3a76f2fc4052 | b6b2cfd9b4da0147e187,,,ACTIVE
FP_e5a59edb9d3196bf,FUND_0013,,,,as_of,,day,2021-12-31,,,,,fund_total,,7000000,7059089,18995752,0,0,,,,2.69,0.2966,,,,,,,,,,,,,,2000,Buyout,,EXTRACTED,SRC035,,,,11c83cbdced63151f7ff | 30472d6465d9f0e84432 | 47f4d263f36bc16f510e | 8475d4a6b381b2208c31 | c6a543f32ae0468cec48 | ca6ae29291d0c9630fca | ebc8ba16acff022bff35,,,ACTIVE
FP_8c029da2330c74cd,FUND_0014,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4572752,999656,6450024,441466,,,,1.63,0.2303,,,,,,,,,,,,,,2017,Growth Equity,,EXTRACTED,SRC035,,,,45be14bfae33565f0070 | 6b56bbef119f51704bc4 | 73dd9796464ce5d01601 | 8a4fb6699fdc2bc8fa7e | a644485016e3bea0ed44 | e1ec910240b310cd170e | e5d70771e97daddfd185,,,ACTIVE
FP_e4f8333ed5128c9f,FUND_0015,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4958865,10035885,1261542,99500,,,,2.28,0.1317,,,,,,,,,,,,,,2009,Venture Capital,,EXTRACTED,SRC035,,,,1a67713cbc42c069766a | 4245ddb7780ae02d2a6e | 516e19adacd9055824da | 8565054a2d68c42c660b | a2146c2f9c7df890da5f | e74d959dbedd9e72e899 | e74e2a027f848686b6c8,,,ACTIVE
FP_5c74c699eb8639ca,FUND_0016,,,,as_of,,day,2021-12-31,,,,,fund_total,,7000000,5808912,6137035,4319631,1191088,,,,1.8,0.2179,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,,,,03d170a824aab26704a7 | 45a431843bec10a542fc | 611b2405ee93ffb979a7 | 681a216589283096e050 | 984fa45b53c53dfc026d | ba6cd3f2a5d96d3d6f1a | f59955f8f46acc183093,,,ACTIVE
FP_1f7659e612b95fd7,FUND_0017,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,903410,0,824129,4096500,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,678fa2dbde2f5b159203 | 9196566f4379b1e38e54 | 9dd9c26b45222f2b3222 | abbd6e09660e4e03a7cc | bec1f728628b4f4cdacf,,,ACTIVE
FP_51a54aed2bf2e02c,FUND_0018,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,2000000,1200000,0,0,,,,0.6,-0.0447,,,,,,,,,,,,,,2004,Venture Capital,,EXTRACTED,SRC035,,,,1087c30259abe5d53892 | 4e8312e957a70eaa9766 | 6752b1ebba2aa1536f7c | 73826c23af8d5a2ff93b | 9d39c6df14fc3a76a86e | a483db10d8ffcdc06c08 | a9f768cd3497f9405829,,,ACTIVE
FP_615ec8eebf9930f2,FUND_0019,,,,as_of,,day,2021-12-31,,,,,fund_total,,2500000,2500000,1745853,5706239,0,,,,2.98,0.2384,,,,,,,,,,,,,,2014,Venture Capital,,EXTRACTED,SRC035,,,,129276a7c71afb0f232d | 6690d9cd448a5f500238 | 797a29fa624614368565 | 866b3fb6a2994674465d | 9c573e440dcaf96f4683 | bf94f8db7bb4d20a68ec | e92930d3adbbb9679ede,,,ACTIVE
FP_2162496c10c7a94e,FUND_0020,,,,as_of,,day,2021-12-31,,,,,fund_total,,2500000,2000000,2829954,3647426,500000,,,,3.24,0.7544,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,37f0bab418cc04e2677b | 4b2cb215e361c9a36fed | 4e52ceaac447301ad5bd | 63b776651baa9041893f | 846e3a637ad53823f29d | e3202e2e82bfe7bb0891 | ec48fcba8304a2984e8c,,,ACTIVE
FP_9d1b63113863965c,FUND_0021,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,6872983,1891034,6074126,38075,,,,1.16,0.0644,,,,,,,,,,,,,,2016,Growth Equity,,EXTRACTED,SRC035,,,,270581bec99821dd5405 | 6ba4bf5c3b02bbc54657 | 7480930a8003213f4837 | 84f0ffb52422df2395a8 | ac213c198bcdef1a906c | fb0f1eabf8d52365112a | ff25917994077195039d,,,ACTIVE
FP_98588c2fdc06c433,FUND_0022,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,1813042,644,1577891,3188225,,,,,,,,,,,,,,,,,,,2021,Infrastructure,,EXTRACTED,SRC035,,,,0556b08ff5a66ae8c417 | 4345588f735314fb8b4a | 6530a69409862cbad824 | 8c329e0989ed279fcae2 | b03ba173865a0e7b918a,,,ACTIVE
FP_215187974a6dd478,FUND_0023,,,,as_of,,day,2021-12-31,,,,,fund_total,,7000000,3656797,84954,3597627,3345976,,,,1.01,0.0087,,,,,,,,,,,,,,2018,Natural Resources,,EXTRACTED,SRC035,,,,0341b750c640d5d9b689 | 1689ea9fe06fd7555280 | 880e19537608974fd9d6 | a7d98778072c1a62b71b | b4fec9b1019784e2b824 | c78c42641b1da1cb5a0e | f5053fc1cee224267ed5,,,ACTIVE
FP_3772f4c350f5a4d6,FUND_0024,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,5059928,752687,14352618,216153,,,,2.99,0.2763,,,,,,,,,,,,,,2016,Buyout,,EXTRACTED,SRC035,,,,07a0598c8efbb6b10751 | 0c7b6b62db6593bd6832 | 5589a50c9898c85d6836 | 6168615c932433fd823f | b0986ab56af7f5fe842e | f4fc9d4f8b0c9d667ab2 | fc938b0d010a170cefbc,,,ACTIVE
FP_e86c4057afdc52b4,FUND_0025,,,,as_of,,day,2021-12-31,,,,,fund_total,,10000000,7894837,455404,13286105,2560559,,,,1.74,0.2587,,,,,,,,,,,,,,2018,Buyout,,EXTRACTED,SRC035,,,,14afa673ff176833ad29 | 39c0a0df405bf3c6df35 | 5c015de3077891fc94d5 | 9dcf5f1c39392db322a9 | a8ada089c2c705a69770 | bd1bd38b3f915a3878d1 | ea8b09ce30ae7019a3e5,,,ACTIVE
FP_168df293a6f18342,FUND_0026,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,1238751,0,1262981,3761249,,,,,,,,,,,,,,,,,,,2020,Buyout,,EXTRACTED,SRC035,,,,391b48c81576ce4b05f4 | 3b8d4df399511347a81a | 4aeac2c4a967c4215720 | 61cecbb69951251fa21c | ff8dcf2ad57e521f4f80,,,ACTIVE
FP_56e61cc8fb0841ec,FUND_0027,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4950000,34267275,1512027,50000,,,,7.23,0.2359,,,,,,,,,,,,,,2005,Venture Capital,,EXTRACTED,SRC035,,,,5f944cac3f40a7b5a4f2 | 7be8ba5bc3b8cd1baa6f | 7fabf4555e4bf642312a | 87e8b0e2a63066ef32c4 | a26a6c63071f8caace2a | c10d36363d1e2021864d | dbffd4425ee45a1e036d,,,ACTIVE
FP_90a17c7720109932,FUND_0028,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,4750000,9986136,0,0,,,,2.1,0.1132,,,,,,,,,,,,,,2007,Growth Equity,,EXTRACTED,SRC035,,,,0574e8953a8c10ac2650 | 0fe58296faba51f06234 | 3142fd465928ff057a48 | 3c1dea096b48dc714a9e | 63f7ae2512e1cfd4fa16 | 8e8927e091717caed4f0 | bfb08a9929cf49cdb82e,,,ACTIVE
FP_9320ca8929bacf9c,FUND_0029,,,,as_of,,day,2021-12-31,,,,,fund_total,,14000000,13997557,3599655,1442315,0,,,,0.36,-0.1306,,,,,,,,,,,,,,2002,Venture Capital,,EXTRACTED,SRC035,,,,330d57cbce7aa1868ad7 | 35be05a2cb43861cc64f | 6c5f989b8c8c3ce3c811 | 9b6036c82c0d5919d19e | c63b2e4fa21d6fc603d9 | df5250af101520797d19 | f7bf546787b7ce3bea4e,,,ACTIVE
FP_1842863ad620273d,FUND_0030,,,,as_of,,day,2021-12-31,,,,,fund_total,,145000,145000,2565,142435,0,,,,1,0,,,,,,,,,,,,,,2011,Special Situations,,EXTRACTED,SRC035,,,,158c0c163abfecbb1f5d | 56772664f74010ae8283 | 767129f699b236212591 | a04b3a05e56870e42c74 | b502806bcdeadd93d30f | bb4930b89aa2fe1f4550 | e3e9ca4d451ef14af6b3,,,ACTIVE
FP_38ee72236ee8f4ac,FUND_0031,,,,as_of,,day,2021-12-31,,,,,fund_total,,175000,175000,755,174245,0,,,,1,0,,,,,,,,,,,,,,2012,Special Situations,,EXTRACTED,SRC035,,,,1b3030d78c3370fcf3ed | 30eb9dda805b57441e09 | 3987fdf20d90ed4f57bb | 5c8c93d1ee03d68d4fc6 | 760d1cb0c9c9dd3d7f44 | cbd7e985e8540315720c | e852ad0d05d9e3dcc3cc,,,ACTIVE
FP_ade08daed8ef848d,FUND_0032,,,,as_of,,day,2021-12-31,,,,,fund_total,,222250,222250,0,222250,0,,,,1,0,,,,,,,,,,,,,,2013,Special Situations,,EXTRACTED,SRC035,,,,17250fbc75907753cb5c | 28147c09095f25a2d796 | 38875a71f318b9febdb0 | 47daa215ba853809b71b | 6aaa501c80ea09b46f52 | cd4763a9013c8201a0ed | dabc0a4c6187b27ea374,,,ACTIVE
FP_4e7aeae421545255,FUND_0033,,,,as_of,,day,2021-12-31,,,,,fund_total,,225000,225000,0,225000,0,,,,1,0,,,,,,,,,,,,,,2014,Special Situations,,EXTRACTED,SRC035,,,,352be0b9b6e14b9ae06e | 7d1f8f2050518ec3da8d | 83e9382bc9b226aa9e2b | b39ea038c690830cb31d | cb6604036f7537c39c70 | df6ce83fea1a6f2f69b0 | f4a210140776f3f5048c,,,ACTIVE
FP_ff1271e5b37867c4,FUND_0034,,,,as_of,,day,2021-12-31,,,,,fund_total,,1000000,1000000,5441621,1506227,0,,,,6.95,0.1967,,,,,,,,,,,,,,2008,Venture Capital,,EXTRACTED,SRC035,,,,09fe4313fa01c533d1b6 | 1845a7159a7df029a358 | 2c5bb8ab0799779eb870 | 45b0ae820a69a7fc7867 | 6efa5275d5708c157441 | d07b322927842a051418 | faa33164eef9a7b7b97a,,,ACTIVE
FP_63572c61a71ac65f,FUND_0035,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,2869007,0,0,,,,1.91,0.2293,,,,,,,,,,,,,,2009,Venture Capital,,EXTRACTED,SRC035,,,,2d8bad4f42d56e469bde | 30f968839054588d5764 | 5e9fb188ceedf1404ac7 | 6e7869ede6771ee58566 | 80b1fbf97bf387a075c0 | 8856f0076bbcd2db80e6 | dee11ebd1d9a264e1239,,,ACTIVE
FP_e0cbe79a12e84299,FUND_0036,,,,as_of,,day,2021-12-31,,,,,fund_total,,1500000,1500000,277541,929930,0,,,,0.8,-0.0216,,,,,,,,,,,,,,2010,Venture Capital,,EXTRACTED,SRC035,,,,5ebb9d188fde9e91a3ec | 62bdd935404a5a6510c4 | 80350d4bba18cd56e853 | a4b063dc6cb482ae7caf | b5239e23ac7eaab54899 | c8b9582bf752dd6e0def | f1cf7e111dc749e4d936,,,ACTIVE
